Id,Backlinks,Netloc,Url1
1,1,www.temptalia.com,http://www.temptalia.com/
2,1,glow-t.com,https://glow-t.com/2012/06/26/glow-t-awards-xen-tan-absolute-gold/
3,1,www.breakfastwithaudrey.com.au,http://www.breakfastwithaudrey.com.au/
4,1,www.handmadereviews.net,http://www.handmadereviews.net/2012/06/sigma-beauty-expert-brow-design-kit.html
5,1,naturalgirl.beautyandlace.net,http://naturalgirl.beautyandlace.net/lush-gets-creepy-this-halloween
6,1,beauty.beautyandlace.net,http://beauty.beautyandlace.net/
7,1,ohmybonbon.com,http://ohmybonbon.com/
8,1,werealloutcasts.wordpress.com,https://werealloutcasts.wordpress.com/
9,1,www.ladiesbalance.com,http://www.ladiesbalance.com
10,1,wordpress.com,https://wordpress.com/about-these-ads/
11,1,blushandpearls.com,http://blushandpearls.com/
12,1,www.yasouskincare.com,http://www.yasouskincare.com/
13,1,bloggerbabes.com,http://bloggerbabes.com/
14,1,ifabbo.com,http://ifabbo.com/
15,1,one2try.net,http://one2try.net/
16,1,associationoffoodbloggers.org,http://associationoffoodbloggers.org/
17,1,bloggiveawaydirectory.com,http://bloggiveawaydirectory.com/
18,1,beautyandlace.net,http://beautyandlace.net/
19,1,directory.beautyandlace.net,http://directory.beautyandlace.net/
20,1,www.gourmetads.com,http://www.gourmetads.com/
21,1,living.beautyandlace.net,http://living.beautyandlace.net/
22,1,yoursay.beautyandlace.net,http://yoursay.beautyandlace.net/
23,1,hair.beautyandlace.net,http://hair.beautyandlace.net/
24,1,fashion.beautyandlace.net,http://fashion.beautyandlace.net/
25,1,christmas.beautyandlace.net,http://christmas.beautyandlace.net/
26,1,beautyblogcoalition.com,http://beautyblogcoalition.com/
27,1,bookgirl.beautyandlace.net,http://bookgirl.beautyandlace.net/
28,1,www.allthingsbeautifulxo.com,http://www.allthingsbeautifulxo.com/
29,1,rtcamp.com,https://rtcamp.com/
30,1,www.adiphenereviewsplus.com,http://www.adiphenereviewsplus.com/
31,1,en.support.wordpress.com,https://en.support.wordpress.com/
32,1,en.blog.wordpress.com,https://en.blog.wordpress.com/
33,1,allmyfriendsarejpegs.com,https://allmyfriendsarejpegs.com/category/reviews/
34,1,iamsteve.in,https://iamsteve.in/
35,1,overyonderlust.com,http://overyonderlust.com/
36,1,fourhourworkweek.com,http://fourhourworkweek.com/2016/10/01/matt-mullenweg-on-the-characteristics-and-practices-of-successful-entrepreneurs/
37,1,blog.danhauk.com,https://blog.danhauk.com/
